raw_token,canonical_title
a/v tech,AV Tech
av tech,AV Tech
av technician,AV Tech
avt,AV Tech
avtech,AV Tech
assist,Assistant
assistant,Assistant
asst,Assistant
audio assist,Audio Assist
audio assistant,Audio Assist
a3,Audio Assist (A3)
audio assist a3,Audio Assist (A3)
a-2,Audio Assistant (A2)
a2,Audio Assistant (A2)
audio 2,Audio Assistant (A2)
audio bo,Audio Breakout Tech
audio bos,Audio Breakout Tech
audio breakout,Audio Breakout Tech
a-1,Audio Engineer (A1)
a1,Audio Engineer (A1)
audio 1,Audio Engineer (A1)
audio lead,Audio Engineer (A1)
audio,Audio Technician
audio tech,Audio Technician
sound,Audio Technician
audio util,Audio Utility
audio utility,Audio Utility
bo record tech,BO Record Tech
breakout record tech,BO Record Tech
boom,Boom Operator
boom op,Boom Operator
boom operator,Boom Operator
bo lead,Breakout Lead
breakout lead,Breakout Lead
b/o,Breakout Operator
bo,Breakout Operator
bo op,Breakout Operator
bo ops,Breakout Operator
bo tech,Breakout Operator
bo techs,Breakout Operator
breakout,Breakout Operator
breakout op,Breakout Operator
breakouts,Breakout Operator
br tech,Breakout Room Tech
breakout room tech,Breakout Room Tech
breakout room technician,Breakout Room Tech
cam,Camera Operator
cam op,Camera Operator
cam op i,Camera Operator
cam operator,Camera Operator
cam ops,Camera Operator
camera,Camera Operator
camera op,Camera Operator
camop,Camera Operator
carp,Carpenter
carpenter,Carpenter
carpentry,Carpenter
carps,Carpenter
carp assist,Carpenter Assist
carp asst,Carpenter Assist
carpenter assist,Carpenter Assist
crew chief,Crew Lead
crew lead,Crew Lead
lead,Crew Lead
leads,Crew Lead
down rigger,Down Rigger
downrigger,Down Rigger
ground rigger,Down Rigger
electrician,Electrician
electrics,Electrician
float,Floater
floater,Floater
fork,Forklift Operator
fork op,Forklift Operator
forklift,Forklift Operator
forklift op,Forklift Operator
g av,General AV
gav,General AV
gen av,General AV
general av,General AV
general labor,General Labor
general labour,General Labor
labor,General Labor
labour,General Labor
gfx,Graphics Operator
graphics,Graphics Operator
graphics op,Graphics Operator
graphics operator,Graphics Operator
led assist,LED Assist
led asst,LED Assist
led lead,LED Lead
led,LED Tech
led tech,LED Tech
led wall,LED Tech
light assist,Lighting Assist
lighting assist,Lighting Assist
lx assist,Lighting Assist
l3,Lighting Assist (L3)
lighting assist l3,Lighting Assist (L3)
l-2,Lighting Assistant (L2)
l2,Lighting Assistant (L2)
lighting 2,Lighting Assistant (L2)
ld,Lighting Director
lighting,Lighting Director
lighting director,Lighting Director
lx,Lighting Director
l-1,Lighting Engineer (L1)
l1,Lighting Engineer (L1)
lighting 1,Lighting Engineer (L1)
load in,Loader
load out,Loader
loader,Loader
loaders,Loader
loader / pusher,Loader / Pusher
loader pusher,Loader / Pusher
pusher,Loader / Pusher
master electrician,Master Electrician
me,Master Electrician
monitor tech,Monitor Tech
monitor technician,Monitor Tech
monitors,Monitor Tech
multi source,Multisource
multi-source,Multisource
multisource,Multisource
pbo,Playback Operator
plackback,Playback Operator
playback,Playback Operator
pj,Projectionist
projection,Projectionist
projectionist,Projectionist
projector,Projectionist
video projectionist,Projectionist
record op,Record Technician
record tech,Record Technician
record technician,Record Technician
recording,Record Technician
recordings,Record Technician
records,Record Technician
rigger,Rigger
riggers,Rigger
rigging,Rigger
set tech,Setup Tech
set up tech,Setup Tech
setup tech,Setup Tech
setup technician,Setup Tech
hand,Stagehand
hands,Stagehand
sh,Stagehand
stage hand,Stagehand
stagehand,Stagehand
house steward,Steward
production - steward,Steward
production steward,Steward
steward,Steward
stream,Stream Tech
stream tech,Stream Tech
streaming,Stream Tech
strike,Strike
td,Technical Director
tech director,Technical Director
technical director,Technical Director
truck,Truck Loader
truck loader,Truck Loader
trucks,Truck Loader
trux,Truck Loader
trx,Truck Loader
high rigger,Up Rigger
up rigger,Up Rigger
uprigger,Up Rigger
ut,Utility Tech
util,Utility Tech
utility,Utility Tech
utility tech,Utility Tech
utillity,Utility Tech
area lead video,Video Area Lead
v area lead,Video Area Lead
video area lead,Video Area Lead
video assist,Video Assist
v-2,Video Assistant (V2)
v2,Video Assistant (V2)
video 2,Video Assistant (V2)
v breakout tech,Video Breakout Tech
video bo,Video Breakout Tech
video bos,Video Breakout Tech
video breakout,Video Breakout Tech
video breakout tech,Video Breakout Tech
v-1,Video Engineer (V1)
v1,Video Engineer (V1)
video 1,Video Engineer (V1)
video lead,Video Engineer (V1)
video,Video Technician
video op,Video Technician
video operator,Video Technician
video tech,Video Technician
v util,Video Utility
video util,Video Utility
video utility,Video Utility
